"skin","state","target","source","mirror","status","reason"
"assassin_default","walk","walk_up.png","walk_up.png","False","kept","kept-original"
"assassin_default","walk","walk_up_right.png","walk_up_right.png","False","kept","kept-original"
"assassin_default","walk","walk_right.png","walk_right.png","False","kept","kept-original"
"assassin_default","walk","walk_down_right.png","walk_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"assassin_default","walk","walk_down.png","walk_down.png","False","kept","kept-original"
"assassin_default","walk","walk_down_left.png","walk_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"assassin_default","walk","walk_left.png","walk_left.png","False","kept","kept-original"
"assassin_default","walk","walk_up_left.png","walk_up_left.png","False","kept","kept-original"
"assassin_default","idle","idle_up.png","idle_up.png","False","kept","kept-original"
"assassin_default","idle","idle_up_right.png","idle_up_right.png","False","kept","kept-original"
"assassin_default","idle","idle_right.png","idle_right.png","False","kept","kept-original"
"assassin_default","idle","idle_down_right.png","idle_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"assassin_default","idle","idle_down.png","idle_down.png","False","kept","kept-original"
"assassin_default","idle","idle_down_left.png","idle_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"assassin_default","idle","idle_left.png","idle_left.png","False","kept","kept-original"
"assassin_default","idle","idle_up_left.png","idle_up_left.png","False","kept","kept-original"
"witch_default","walk","walk_up.png","walk_up.png","False","kept","kept-original"
"witch_default","walk","walk_up_right.png","walk_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","walk","walk_right.png","walk_right.png","False","kept","kept-original"
"witch_default","walk","walk_down_right.png","walk_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"witch_default","walk","walk_down.png","walk_down.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","walk","walk_down_left.png","walk_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"witch_default","walk","walk_left.png","walk_left.png","False","kept","kept-original"
"witch_default","walk","walk_up_left.png","walk_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_up.png","idle_up.png","False","kept","kept-original"
"witch_default","idle","idle_up_right.png","idle_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_right.png","idle_right.png","False","kept","kept-original"
"witch_default","idle","idle_down_right.png","idle_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"witch_default","idle","idle_down.png","idle_down.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_down_left.png","idle_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"witch_default","idle","idle_left.png","idle_left.png","False","kept","kept-original"
"witch_default","idle","idle_up_left.png","idle_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","walk","walk_up.png","walk_up.png","False","kept","kept-original"
"priest_default","walk","walk_up_right.png","walk_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","walk","walk_right.png","walk_left.png","True","candidate_generated","manual-confirmed-right-currently-left; mirror-left-to-right"
"priest_default","walk","walk_down_right.png","walk_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"priest_default","walk","walk_down.png","walk_down.png","False","kept","kept-original"
"priest_default","walk","walk_down_left.png","walk_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"priest_default","walk","walk_left.png","walk_left.png","False","kept","kept-original"
"priest_default","walk","walk_up_left.png","walk_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","idle","idle_up.png","idle_up.png","False","kept","kept-original"
"priest_default","idle","idle_up_right.png","idle_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","idle","idle_right.png","idle_left.png","True","candidate_generated","manual-confirmed-right-currently-left; mirror-left-to-right"
"priest_default","idle","idle_down_right.png","idle_down_left.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"priest_default","idle","idle_down.png","idle_down.png","False","kept","kept-original"
"priest_default","idle","idle_down_left.png","idle_down_right.png","False","candidate_generated","manual-confirmed-down-left/down-right-swapped"
"priest_default","idle","idle_left.png","idle_left.png","False","kept","kept-original"
"priest_default","idle","idle_up_left.png","idle_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"warrior_default","walk","walk_up.png","walk_up.png","False","kept","kept-original"
"warrior_default","walk","walk_up_right.png","walk_up_right.png","False","kept","kept-original"
"warrior_default","walk","walk_right.png","walk_right.png","False","kept","kept-original"
"warrior_default","walk","walk_down_right.png","walk_down_right.png","False","kept","kept-original"
"warrior_default","walk","walk_down.png","walk_down.png","False","kept","kept-original"
"warrior_default","walk","walk_down_left.png","walk_down_left.png","False","kept","kept-original"
"warrior_default","walk","walk_left.png","walk_left.png","False","kept","kept-original"
"warrior_default","walk","walk_up_left.png","walk_up_left.png","False","kept","kept-original"
"warrior_default","idle","idle_up.png","idle_up.png","False","kept","kept-original"
"warrior_default","idle","idle_up_right.png","idle_up_right.png","False","kept","kept-original"
"warrior_default","idle","idle_right.png","idle_right.png","False","kept","kept-original"
"warrior_default","idle","idle_down_right.png","idle_down_right.png","False","kept","kept-original"
"warrior_default","idle","idle_down.png","idle_down.png","False","kept","kept-original"
"warrior_default","idle","idle_down_left.png","idle_down_left.png","False","kept","kept-original"
"warrior_default","idle","idle_left.png","idle_left.png","False","kept","kept-original"
"warrior_default","idle","idle_up_left.png","idle_up_left.png","False","kept","kept-original"
