"skin","state","target","source","mirror","status","reason"
"witch_default","walk","walk_up_right.png","walk_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","walk","walk_down.png","walk_down.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","walk","walk_up_left.png","walk_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_up_right.png","idle_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_down.png","idle_down.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"witch_default","idle","idle_up_left.png","idle_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","walk","walk_up_right.png","walk_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","walk","walk_up_left.png","walk_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","idle","idle_up_right.png","idle_up_right.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
"priest_default","idle","idle_up_left.png","idle_up_left.png","False","needs_manual_art","manual-confirmed-needs-regeneration"
