"skin","state","target","source","mirror","status","reason"
"assassin_default","walk","walk_up_right.png","walk_up_left.png","True","mirrored","temporary mirror from up_left for up_right"
"assassin_default","walk","walk_down_right.png","walk_down_left.png","False","swapped","manual-check: current-down-left-is-down-right"
"assassin_default","walk","walk_down_left.png","walk_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"assassin_default","idle","idle_up_right.png","idle_up_left.png","True","mirrored","temporary mirror from up_left for up_right"
"assassin_default","idle","idle_down_right.png","idle_down_left.png","True","mirrored","temporary mirror from down_left for down_right"
"assassin_default","idle","idle_down_left.png","idle_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"priest_default","walk","walk_right.png","walk_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"priest_default","walk","walk_down_right.png","walk_down_left.png","False","swapped","manual-check: down-left/down-right-swapped"
"priest_default","walk","walk_down_left.png","walk_down_right.png","False","swapped","manual-check: down-left/down-right-swapped"
"priest_default","idle","idle_right.png","idle_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"priest_default","idle","idle_down_right.png","idle_down_left.png","False","swapped","manual-check: down-left/down-right-swapped"
"priest_default","idle","idle_down_left.png","idle_down_right.png","False","swapped","manual-check: down-left/down-right-swapped"
"warrior_default","walk","walk_up_right.png","walk_up_left.png","True","mirrored","manual-check: current-up-right-is-down-left; temporary mirror from up_left"
"warrior_default","walk","walk_down_right.png","walk_down_left.png","True","mirrored","manual-check: current-down-right-is-down-left; mirror-down-left-to-right"
"warrior_default","idle","idle_up_right.png","idle_up_left.png","True","mirrored","manual-check: current-up-right-is-down-left; temporary mirror from up_left"
"warrior_default","idle","idle_down_right.png","idle_down_left.png","True","mirrored","manual-check: current-down-right-is-down-left; mirror-down-left-to-right"
"witch_default","walk","walk_right.png","walk_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"witch_default","walk","walk_down_right.png","walk_down_left.png","False","swapped","manual-check: down-left/down-right-swapped"
"witch_default","walk","walk_down_left.png","walk_down_right.png","False","swapped","manual-check: down-left/down-right-swapped"
"witch_default","idle","idle_right.png","idle_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"witch_default","idle","idle_down_right.png","idle_down_left.png","False","swapped","manual-check: down-left/down-right-swapped"
"witch_default","idle","idle_down_left.png","idle_down_right.png","False","swapped","manual-check: down-left/down-right-swapped"
