"skin","state","target","source","mirror","status","reason"
"witch_default","walk","walk_up_right.png","walk_up.png","False","needs_manual_review","no-clear-back-right-source-found; using-up-as-safe-non-opposite-preview"
"witch_default","walk","walk_down.png","walk_down_right.png","False","needs_manual_review","current-down-is-back-facing; using-best-front-facing-source-preview"
"witch_default","walk","walk_up_left.png","walk_up.png","False","needs_manual_review","no-clear-back-left-source-found; using-up-as-safe-non-opposite-preview"
"witch_default","idle","idle_up_right.png","idle_up.png","False","needs_manual_review","no-clear-back-right-source-found; using-up-as-safe-non-opposite-preview"
"witch_default","idle","idle_down.png","idle_down_right.png","False","needs_manual_review","current-down-is-back-facing; using-best-front-facing-source-preview"
"witch_default","idle","idle_up_left.png","idle_up.png","False","needs_manual_review","no-clear-back-left-source-found; using-up-as-safe-non-opposite-preview"
"priest_default","walk","walk_up_right.png","walk_up.png","False","needs_manual_review","no-clear-back-right-source-found; using-up-as-safe-non-opposite-preview"
"priest_default","walk","walk_up_left.png","walk_up.png","False","needs_manual_review","no-clear-back-left-source-found; using-up-as-safe-non-opposite-preview"
"priest_default","idle","idle_up_right.png","idle_up.png","False","needs_manual_review","no-clear-back-right-source-found; using-up-as-safe-non-opposite-preview"
"priest_default","idle","idle_up_left.png","idle_up.png","False","needs_manual_review","no-clear-back-left-source-found; using-up-as-safe-non-opposite-preview"
