"skin","state","target","source","mirror","status","reason"
"assassin_default","idle","idle_down_right.png","idle_down_left.png","False","needs_regen_temp_adjacent","manual-check: v3 candidate was left; temporary adjacent down-left placeholder"
"priest_default","walk","walk_up_right.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","walk","walk_down_right.png","walk_down_left.png","False","needs_regen_temp_adjacent","manual-check: current-down-right-is-left; temporary adjacent down-left placeholder"
"priest_default","walk","walk_up_left.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","idle","idle_up_right.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"priest_default","idle","idle_down_right.png","idle_down_left.png","False","needs_regen_temp_adjacent","manual-check: current-down-right-is-left; temporary adjacent down-left placeholder"
"priest_default","idle","idle_up_left.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","walk","walk_up_right.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","walk","walk_down.png","walk_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent down-right placeholder"
"witch_default","walk","walk_down_left.png","walk_down_right.png","False","needs_regen_temp_adjacent","down-left source not confirmed; temporary adjacent down-right placeholder"
"witch_default","walk","walk_up_left.png","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","idle","idle_up_right.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
"witch_default","idle","idle_down.png","idle_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent down-right placeholder"
"witch_default","idle","idle_down_left.png","idle_down_right.png","False","needs_regen_temp_adjacent","down-left source not confirmed; temporary adjacent down-right placeholder"
"witch_default","idle","idle_up_left.png","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary adjacent up placeholder"
